Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
"Lecture 1.pdf";957955;"Prof. Dr.-Ing. Markus Fidler";"2016-04-04 14:57:16";"Lecture 01";;Lecture_1.pdf
"Lecture 2.pdf";786098;"Prof. Dr.-Ing. Markus Fidler";"2016-04-08 17:22:35";"Lecture 02";;Lecture_2.pdf
"Lecture 3.pdf";369036;"Prof. Dr.-Ing. Markus Fidler";"2016-04-08 17:23:15";"Lecture 03";;Lecture_3.pdf
"Lecture 4.pdf";520334;"Prof. Dr.-Ing. Markus Fidler";"2016-04-22 17:45:47";"Lecture 04";;Lecture_4.pdf
"Lecture 5.pdf";720939;"Prof. Dr.-Ing. Markus Fidler";"2016-04-22 17:46:30";"Lecture 05";;Lecture_5.pdf
"Lecture 6.pdf";493486;"Prof. Dr.-Ing. Markus Fidler";"2016-05-17 17:07:24";"Lecture 06";;Lecture_6.pdf
"Lecture 7.pdf";568929;"Prof. Dr.-Ing. Markus Fidler";"2016-06-06 13:32:53";"Lecture 07";;Lecture_7.pdf
"Lecture 8.pdf";355853;"Prof. Dr.-Ing. Markus Fidler";"2016-06-10 11:08:03";"Lecture 08";;Lecture_8.pdf
"Lecture 9.pdf";492859;"Prof. Dr.-Ing. Markus Fidler";"2016-06-10 11:08:49";"Lecture 09";;Lecture_9.pdf
