t	X	Y
0	1	1
0.1	0.9	0.9
0.2	0.819	0.81
0.3	0.752661	0.729
0.4	0.697792	0.6561
0.5	0.65201	0.59049
0.6	0.613509	0.531441
0.7	0.580905	0.478297
0.8	0.55312	0.430467
0.9	0.52931	0.38742
1	0.508804	0.348678
1.1	0.491063	0.313811
1.2	0.475653	0.28243
1.3	0.462219	0.254187
1.4	0.45047	0.228768
1.5	0.440165	0.205891
1.6	0.431102	0.185302
1.7	0.423114	0.166772
1.8	0.416057	0.150095
1.9	0.409813	0.135085
2	0.404277	0.121577
2.1	0.399362	0.109419
2.2	0.394992	0.0984771
2.3	0.391102	0.0886294
2.4	0.387636	0.0797664
2.5	0.384544	0.0717898
2.6	0.381783	0.0646108
2.7	0.379316	0.0581497
2.8	0.377111	0.0523348
2.9	0.375137	0.0471013
3	0.37337	0.0423912
3.1	0.371787	0.038152
3.2	0.370369	0.0343368
3.3	0.369097	0.0309032
3.4	0.367957	0.0278128
3.5	0.366933	0.0250316
3.6	0.366015	0.0225284
3.7	0.36519	0.0202756
3.8	0.36445	0.018248
3.9	0.363785	0.0164232
4	0.363187	0.0147809
4.1	0.36265	0.0133028
4.2	0.362168	0.0119725
4.3	0.361734	0.0107753
4.4	0.361344	0.00969774
4.5	0.360994	0.00872796
4.6	0.360679	0.00785517
4.7	0.360396	0.00706965
4.8	0.360141	0.00636269
4.9	0.359912	0.00572642
5	0.359706	0.00515378
5.1	0.35952	0.0046384
5.2	0.359353	0.00417456
5.3	0.359203	0.0037571
5.4	0.359069	0.00338139
5.5	0.358947	0.00304325
5.6	0.358838	0.00273893
5.7	0.35874	0.00246503
5.8	0.358651	0.00221853
5.9	0.358572	0.00199668
6	0.3585	0.00179701
6.1	0.358436	0.00161731
6.2	0.358378	0.00145558
6.3	0.358325	0.00131002
6.4	0.358278	0.00117902
6.5	0.358236	0.00106112
6.6	0.358198	0.000955005
6.7	0.358164	0.000859504
6.8	0.358133	0.000773554
6.9	0.358106	0.000696199
7	0.358081	0.000626579
7.1	0.358058	0.000563921
7.2	0.358038	0.000507529
7.3	0.35802	0.000456776
7.4	0.358003	0.000411098
7.5	0.357989	0.000369988
7.6	0.357975	0.00033299
7.7	0.357964	0.000299691
7.8	0.357953	0.000269722
7.9	0.357943	0.000242749
8	0.357934	0.000218475
8.1	0.357927	0.000196627
8.2	0.35792	0.000176964
8.3	0.357913	0.000159268
8.4	0.357908	0.000143341
8.5	0.357902	0.000129007
8.6	0.357898	0.000116106
8.7	0.357894	0.000104496
8.8	0.35789	9.40461e-05
8.9	0.357887	8.46415e-05
9	0.357884	7.61773e-05
9.1	0.357881	6.85596e-05
9.2	0.357878	6.17037e-05
9.3	0.357876	5.55333e-05
9.4	0.357874	4.998e-05
9.5	0.357872	4.4982e-05
9.6	0.357871	4.04838e-05
9.7	0.357869	3.64354e-05
9.8	0.357868	3.27919e-05
9.9	0.357867	2.95127e-05
